id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
616408408099846675,Waanzinnig ruim en licht appartement in oudwest,78765002,Nienke,,De Baarsjes - Oud-West,52.37164,4.85875,Entire home/apt,150,2,5,2022-07-08,0.73,1,127,5,Exempt
616458444741659045,Centraal gelegen ruim appartement in Amsterdam,425685004,Marion,,Westerpark,52.375072,4.875227,Entire home/apt,625,5,4,2022-11-26,0.71,1,93,4,0363 7B65 8CF0 C3F5 0366
616463734050068121,NEW! Roof terrace apartment in Jordaan Area!,453453235,Flip,,Centrum-West,52.36929,4.88287,Private room,141,1,55,2022-11-23,7.67,2,194,55,0363 9B55 43F2 D9E7 BEAB
616519270204373970,"Cozy apartment in Oud-West, Amsterdam",91017675,Celina,,De Baarsjes - Oud-West,52.36357,4.86017,Entire home/apt,200,1,2,2022-06-25,0.36,1,32,2,0363732C66BAF2FF6FED
628092685405760180,Cosy studio in the lovely Pijp area ++ location,459364192,Andrea,,De Pijp - Rivierenbuurt,52.35288,4.88911,Entire home/apt,199,2,5,2022-07-16,0.79,1,0,5,0363C54238B70BD819A0
628098840536423017,Renovated apartment in Amsterdam + backyard + cat,45218469,Emma,,De Baarsjes - Oud-West,52.3682,4.8539,Entire home/apt,250,3,2,2022-06-23,0.34,1,99,2,0363 BBA2 E19C 1228 DA13
628132667218227633,High class room Pijp- approved for Airbnb,129032517,Itay,,De Pijp - Rivierenbuurt,52.356461,4.898642,Private room,119,3,23,2022-11-28,3.90,1,59,23,Exempt
617097891864311863,Spacious family house (3 bedrooms) + roof terrace,8575893,Liza,,Oud-Oost,52.35811,4.90765,Entire home/apt,360,3,4,2022-09-25,0.74,1,9,4,0363 0850 D335 216A EAE0
617112252255555396,Stijlvol modern appartement perfect voor twee,14637591,Rick,,Bos en Lommer,52.38055,4.84748,Entire home/apt,232,2,0,,,1,218,0,0363 4B7E 830B 39FF 2EC4
617341356985304351,New modern Apartment Amsterdam Zuid,300932749,Fleur,,Zuid,52.35118,4.85536,Entire home/apt,199,1,9,2022-09-17,1.33,1,364,9,
628200783242741899,Modern guesthouse at canal near center,3241444,Thijs,,Westerpark,52.38607,4.87933,Entire home/apt,97,2,25,2022-11-19,4.01,5,35,25,0363 7AE5 8749 D05C F51D
52357780,Nice apartment with Canal view,423797988,Joey,,Zuid,52.35519,4.88568,Entire home/apt,320,1,6,2022-07-03,0.83,1,338,6,0363 EDE7 F93D F7C1 1C93
628205795256250116,Cozy centrally located apartment in 'de Pijp',274272991,Tallulah Manuela,,De Pijp - Rivierenbuurt,52.35732,4.89875,Entire home/apt,300,5,0,,,1,353,0,0363 36D3 C282 C998 F891
628212639477642807,"Beautiful, stylish apartment in Amsterdam",59759074,Cas,,De Pijp - Rivierenbuurt,52.34221,4.90735,Entire home/apt,150,3,3,2022-10-27,0.47,1,4,3,0363 DC23 BBD6 59EF 5F66
628253413511476462,Fijn appartement in Amsterdam Zuid,27376942,Thom,,Zuid,52.34883,4.86248,Entire home/apt,162,3,1,2022-07-04,0.19,1,165,1,
628589945973519902,Canalhouse apartment - topfloor,20767771,Fidel,,De Baarsjes - Oud-West,52.369946,4.871509,Entire home/apt,120,3,23,2022-11-18,3.77,1,58,23,0363 015B C205 DA50 B41A
628654187679984513,Spacious familyhouse with garden on the water,7236967,Anna,,Noord-West,52.42253,4.8961,Entire home/apt,159,20,0,,,1,127,0,0363 696B C40E 95E0 54AB
617354635479845621,Cosy family villa on the water,11724679,Sonja,,IJburg - Zeeburgereiland,52.35155,4.99251,Entire home/apt,475,5,5,2022-08-05,1.07,1,121,5,0363 7A7D 3F33 39D8 2756
617378058167008775,Loft with amazing views,456972506,Ramon,,De Baarsjes - Oud-West,52.36464,4.8789,Entire home/apt,800,1,4,2022-05-28,0.55,1,0,4,0363 4030 A274 9214 5C8D
617532827349971988,Lovely bright 1- bedroom apartment in Amsterdam,212180850,Eleanor,,Watergraafsmeer,52.34887,4.94251,Entire home/apt,150,4,3,2022-08-06,0.61,1,0,3,0363 0E0D 3A14 3073 EE18
617778002896328268,High-end BNB on Amsterdam's most beautiful Canal,5148715,Mikael,,Centrum-West,52.37449,4.88109,Entire home/apt,345,1,1,2022-06-02,0.16,1,76,1,036387F547FC79E156B4
617970731105168249,stunning houseboat in historic centre,2531171,Carmen,,Centrum-Oost,52.374424,4.905502,Entire home/apt,600,3,2,2022-10-08,0.29,3,7,2,ABCD 1234 AB12 89EF A0F9
618071471104515879,Appartement in de Pijp,155006757,Mieke,,De Pijp - Rivierenbuurt,52.35329,4.90538,Entire home/apt,450,4,5,2022-07-09,0.71,1,63,5,0363 6F51 C750 749C 7420
628799744216112814,"Beautiful, light apt. in Old-West + sunny balcony",24472062,Olivier,,De Baarsjes - Oud-West,52.368507,4.865882,Entire home/apt,500,3,5,2022-10-24,0.79,1,361,5,0363 F0FF 0AB3 167B 5343
52360064,Unique modern family home close to the Amstel,784011,Marta,,Oud-Oost,52.35309,4.91187,Entire home/apt,414,7,1,2021-11-11,0.08,1,24,0,0363 58DD 7A7D 82EA 76CF
628811916868464597,★★ COMFORTABLE 2BR APARTMENT @ NDSM | AMSTERDAM ★★,46691672,Eva & Kobe,,Oud-Noord,52.39762,4.90433,Entire home/apt,214,3,15,2022-11-21,2.92,9,307,15,Exempt
